#;nome-taxon;autoria;ano;ordem;subordem;infraordem;parvordem;superfamilia;familia;subfamilia;genero;especie;nome_vernaculo
3041;Asthenes hudsoni;Sclater;1874;Passeriformes;Tyranni;Furnariides;Furnariida;Furnarioidea;Furnariidae;Synallaxiinae;Asthenes;hudsoni;joão-platino
3716;Serpophaga nigricans;Vieillot;1817;Passeriformes;Tyranni;Tyrannides;Tyrannida;Tyrannoidea;Tyrannidae;Elaeniinae;Serpophaga;nigricans;joão-pobre
2925;Lochmias nematura;Lichtenstein;1823;Passeriformes;Tyranni;Furnariides;Furnariida;Furnarioidea;Furnariidae;Furnariinae;Lochmias;nematura;joão-porca
3117;Synallaxis spixi;Sclater;1856;Passeriformes;Tyranni;Furnariides;Furnariida;Furnarioidea;Furnariidae;Synallaxiinae;Synallaxis;spixi;joão-teneném
3103;Synallaxis gujanensis;Gmelin;1789;Passeriformes;Tyranni;Furnariides;Furnariida;Furnarioidea;Furnariidae;Synallaxiinae;Synallaxis;gujanensis;joão-teneném-becuá
3127;Synallaxis rutilans;Temminck;1823;Passeriformes;Tyranni;Furnariides;Furnariida;Furnarioidea;Furnariidae;Synallaxiinae;Synallaxis;rutilans;joão-teneném-castanho
3108;Synallaxis hellmayri;Reiser;1905;Passeriformes;Tyranni;Furnariides;Furnariida;Furnarioidea;Furnariidae;Synallaxiinae;Synallaxis;hellmayri;joão-xique-xique
2919;Furnarius minor;Pelzeln;1858;Passeriformes;Tyranni;Furnariides;Furnariida;Furnarioidea;Furnariidae;Furnariinae;Furnarius;minor;joãozinho
266;Leptotila rufaxilla;Richard & Bernard;1792;Columbiformes;;;;;Columbidae;Columbinae;Leptotila;rufaxilla;juriti-de-testa-branca
261;Leptotila verreauxi;Bonaparte;1855;Columbiformes;;;;;Columbidae;Columbinae;Leptotila;verreauxi;juriti-pupu
254;Geotrygon saphirina;Bonaparte;1855;Columbiformes;;;;;Columbidae;Columbinae;Geotrygon;saphirina;juriti-safira
258;Geotrygon violacea;Temminck;1809;Columbiformes;;;;;Columbidae;Columbinae;Geotrygon;violacea;juriti-vermelha
1502;Baryphthengus ruficapillus;Vieillot;1818;Coraciiformes;;;;;Momotidae;;Baryphthengus;ruficapillus;juruva
1500;Baryphthengus martii;Spix;1824;Coraciiformes;;;;;Momotidae;;Baryphthengus;martii;juruva-ruiva
3996;Vireo chivi;Vieillot;1817;Passeriformes;Passeri;;Corvida;;Vireonidae;;Vireo;chivi;juruviara
4005;Vireo altiloquus;Vieillot;1808;Passeriformes;Passeri;;Corvida;;Vireonidae;;Vireo;altiloquus;juruviara-barbuda
3995;Vireo olivaceus;Linnaeus;1766;Passeriformes;Passeri;;Corvida;;Vireonidae;;Vireo;olivaceus;juruviara-boreal
4002;Vireo gracilirostris;Sharpe;1890;Passeriformes;Passeri;;Corvida;;Vireonidae;;Vireo;gracilirostris;juruviara-de-noronha
4003;Vireo flavoviridis;Cassin;1851;Passeriformes;Passeri;;Corvida;;Vireonidae;;Vireo;flavoviridis;juruviara-verde-amarelada
3848;Fluvicola albiventer;Spix;1825;Passeriformes;Tyranni;Tyrannides;Tyrannida;Tyrannoidea;Tyrannidae;Fluvicolinae;Fluvicola;albiventer;lavadeira-de-cara-branca
3847;Fluvicola pica;Boddaert;1783;Passeriformes;Tyranni;Tyrannides;Tyrannida;Tyrannoidea;Tyrannidae;Fluvicolinae;Fluvicola;pica;lavadeira-do-norte
3849;Fluvicola nengeta;Linnaeus;1766;Passeriformes;Tyranni;Tyrannides;Tyrannida;Tyrannoidea;Tyrannidae;Fluvicolinae;Fluvicola;nengeta;lavadeira-mascarada
3038;Asthenes baeri;Berlepsch;1906;Passeriformes;Tyranni;Furnariides;Furnariida;Furnarioidea;Furnariidae;Synallaxiinae;Asthenes;baeri;lenheiro
3040;Asthenes luizae;Vielliard;1990;Passeriformes;Tyranni;Furnariides;Furnariida;Furnarioidea;Furnariidae;Synallaxiinae;Asthenes;luizae;lenheiro-da-serra-do-cipó
3043;Asthenes pyrrholeuca;Vieillot;1817;Passeriformes;Tyranni;Furnariides;Furnariida;Furnarioidea;Furnariidae;Synallaxiinae;Asthenes;pyrrholeuca;lenheiro-de-rabo-comprido
2958;Philydor atricapillus;Wied;1821;Passeriformes;Tyranni;Furnariides;Furnariida;Furnarioidea;Furnariidae;Philydorinae;Philydor;atricapillus;limpa-folha-coroado
2985;Dendroma erythroptera;Sclater;1856;Passeriformes;Tyranni;Furnariides;Furnariida;Furnarioidea;Furnariidae;Philydorinae;Dendroma;erythroptera;limpa-folha-de-asa-castanha
2975;Syndactyla ucayalae;Chapman;1928;Passeriformes;Tyranni;Furnariides;Furnariida;Furnarioidea;Furnariidae;Philydorinae;Syndactyla;ucayalae;limpa-folha-de-bico-virado
2961;Anabacerthia ruficaudata;d'Orbigny & Lafresnaye;1838;Passeriformes;Tyranni;Furnariides;Furnariida;Furnarioidea;Furnariidae;Philydorinae;Anabacerthia;ruficaudata;limpa-folha-de-cauda-ruiva
2953;Philydor erythrocercum;Pelzeln;1859;Passeriformes;Tyranni;Furnariides;Furnariida;Furnarioidea;Furnariidae;Philydorinae;Philydor;erythrocercum;limpa-folha-de-sobre-ruivo
2981;Dendroma rufa;Vieillot;1818;Passeriformes;Tyranni;Furnariides;Furnariida;Furnarioidea;Furnariidae;Philydorinae;Dendroma;rufa;limpa-folha-de-testa-baia
2970;Syndactyla dimidiata;Pelzeln;1859;Passeriformes;Tyranni;Furnariides;Furnariida;Furnarioidea;Furnariidae;Philydorinae;Syndactyla;dimidiata;limpa-folha-do-brejo
2901;Berlepschia rikeri;Ridgway;1886;Passeriformes;Tyranni;Furnariides;Furnariida;Furnarioidea;Furnariidae;Berlepschiinae;Berlepschia;rikeri;limpa-folha-do-buriti
2957;Philydor novaesi;Teixeira & Gonzaga;1983;Passeriformes;Tyranni;Furnariides;Furnariida;Furnarioidea;Furnariidae;Philydorinae;Philydor;novaesi;limpa-folha-do-nordeste
2964;Anabacerthia amaurotis;Temminck;1823;Passeriformes;Tyranni;Furnariides;Furnariida;Furnarioidea;Furnariidae;Philydorinae;Anabacerthia;amaurotis;limpa-folha-miúdo
2965;Anabacerthia lichtensteini;Cabanis & Heine;1859;Passeriformes;Tyranni;Furnariides;Furnariida;Furnarioidea;Furnariidae;Philydorinae;Anabacerthia;lichtensteini;limpa-folha-ocráceo
2977;Ancistrops strigilatus;Spix;1825;Passeriformes;Tyranni;Furnariides;Furnariida;Furnarioidea;Furnariidae;Philydorinae;Ancistrops;strigilatus;limpa-folha-picanço
3003;Automolus subulatus;Spix;1824;Passeriformes;Tyranni;Furnariides;Furnariida;Furnarioidea;Furnariidae;Philydorinae;Automolus;subulatus;limpa-folha-riscado
